imports,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Austria,1880,2058,2206,1836,1417,1231,1210,1294,1293,1500,1257,1432,1447,1336,1538,1577,1601,1968,1901,1309,1369,1452,1559,1555,,,,,
Belgium,,,,,,,,,,3003,3491,3209,3792,3818,3968,4063,4605,4014,6792,5916,5924,5828,5668,5502,,,,,
Belgium/Luxembourg,2015,1746,1828,2063,2262,2401,2526,2544,3580,,,,,,,,,,,,,,,,,,,,
Bulgaria,268,200,182,397,463,515,272,294,342,367,281,355,343,400,367,441,435,393,517,523,528,482,560,609,,,,,
China (Mainland),27.5430032,46.0940072,69.0490083,34.1010057,15.0480004,34.026002,209.1500099,29.42001,83.8740096,83.2562008,94.7124108,162,199,242,254,287,357,366,401,419,573,809,1088,932,1262,1188,1708,2146,1456
Croatia,,,168,163,193,320,322,385,339,352,344,352,371,393,388,392,404,414,405,394,394,391,384,413,,,,,
Cyprus,50,54,41,77,52,44,52,41,50,55,69,59,57,59,59,80,74,71,78,72,77,82,84,94,,,,,
Czech Republic,659,525,475,514,554,553,525,560,765,728,809,899,888,974,929,1063,940,1037,1037,930,951,952,1127,1184,,,,,
Denmark,959,983,1062,994,1033,877,1006,949,1014,1094,1022,1103,1076,1002,1119,993,1004,995,900,860,1015,909,913,921,,,,,
Estonia,,,16,51,83,107,117,141,135,131,105,161,120,134,176,221,254,277,334,357,263,167,157,156,,,,,
Finland,1095,1033,1055,1301,1361,769,992,1186,1168,1209,1063,1084,1075,1105,1152,1156,1168,1207,1285,1243,1274,1287,1238,1275,,,,,
 France,6301,6553,6612,6334,6369,6214,6660,6704,6576,6676,6520,6753,6925,6652,5940,5714,6191,6420,6252,6670,6717,6992,6841,6713,,,,,
Germany,13671,13229,13789,14107,13583,12852,13507,13905,13740,14320,13895,14753,15516,15727,17356,16716,18543,19564,19876,19416,20603,20926,21816,21174,,,,,
Greece,642,407,349,375,502,523,766,789,704,733,798,868,897,998,942,931,897,1081,1056,1046,1061,1155,1244,1269,,,,,
Hong Kong,131.2319902,178.4679848,217.5199792,183.3039846,204.2909791,112.9849934,146.880992,167.2509903,141.8609944,150.0219875,140.7789918,125,105,106,128,121,130,146,173,180,191,224,283,273,249,298,346,403,721
Hungary,574,641,522,668,771,520,603,675,716,762,790,833,828,864,977,852,901,894,811,704,727,640,748,557,,,,,
Ireland,129,118,95,111,131,115,98,106,102,142,155,180,177,227,264,251,252,266,127,142,165,210,252,233,,,,,
Italy,5242,4630,4595,5594,5554,5388,5608,5743,5889,5943,6315,6542,6523,6929,7032,7269,7548,8028,8172,8078,8236,8355,8691,8823,,,,,
Latvia,,,20,60,23,30,66,144,159,183,181,156,164,186,188,191,221,151,154,132,138,141,157,161,,,,,
Lithuania,,,2,9,47,113,150,187,185,206,213,267,263,221,256,284,317,336,390,411,376,289,337,362,,,,,
Luxembourg,,,,,,,,,,145,232,210,253,289,316,331,336,360,351,330,349,326,323,378,,,,,
